,date,rcp_scenario,temp
4787,2037-12-15,rcp45,15.09449817619512
4788,2037-12-16,rcp45,15.030917181604574
4789,2037-12-17,rcp45,14.913506711699943
4790,2037-12-18,rcp45,15.111369841405816
4791,2037-12-19,rcp45,15.314563712934593
4792,2037-12-20,rcp45,15.510023324338887
4793,2037-12-21,rcp45,15.657546011925843
4794,2037-12-22,rcp45,15.731876850168499
4795,2037-12-23,rcp45,15.193204183423681
4796,2037-12-24,rcp45,14.00353925048885
4797,2037-12-25,rcp45,14.139016084635863
4798,2037-12-26,rcp45,14.28222646732668
4799,2037-12-27,rcp45,14.700020127519798
4800,2037-12-28,rcp45,15.223580177165582
4801,2037-12-29,rcp45,15.512211336916337
4802,2037-12-30,rcp45,15.717366982953088
